experiment,n_runs,average_delay_mean_mean,average_delay_mean_std,average_delay_mean_ci95,average_delay_mean_min,average_delay_mean_max,average_delay_std_mean,average_delay_std_std,average_delay_std_ci95,average_delay_std_min,average_delay_std_max,average_delay_min_mean,average_delay_min_std,average_delay_min_ci95,average_delay_min_min,average_delay_min_max,average_delay_max_mean,average_delay_max_std,average_delay_max_ci95,average_delay_max_min,average_delay_max_max,average_delay_final_mean,average_delay_final_std,average_delay_final_ci95,average_delay_final_min,average_delay_final_max,throughput_mean_mean,throughput_mean_std,throughput_mean_ci95,throughput_mean_min,throughput_mean_max,throughput_std_mean,throughput_std_std,throughput_std_ci95,throughput_std_min,throughput_std_max,throughput_min_mean,throughput_min_std,throughput_min_ci95,throughput_min_min,throughput_min_max,throughput_max_mean,throughput_max_std,throughput_max_ci95,throughput_max_min,throughput_max_max,throughput_final_mean,throughput_final_std,throughput_final_ci95,throughput_final_min,throughput_final_max,average_queue_length_mean_mean,average_queue_length_mean_std,average_queue_length_mean_ci95,average_queue_length_mean_min,average_queue_length_mean_max,average_queue_length_std_mean,average_queue_length_std_std,average_queue_length_std_ci95,average_queue_length_std_min,average_queue_length_std_max,average_queue_length_min_mean,average_queue_length_min_std,average_queue_length_min_ci95,average_queue_length_min_min,average_queue_length_min_max,average_queue_length_max_mean,average_queue_length_max_std,average_queue_length_max_ci95,average_queue_length_max_min,average_queue_length_max_max,average_queue_length_final_mean,average_queue_length_final_std,average_queue_length_final_ci95,average_queue_length_final_min,average_queue_length_final_max,average_speed_mean_mean,average_speed_mean_std,average_speed_mean_ci95,average_speed_mean_min,average_speed_mean_max,average_speed_std_mean,average_speed_std_std,average_speed_std_ci95,average_speed_std_min,average_speed_std_max,average_speed_min_mean,average_speed_min_std,average_speed_min_ci95,average_speed_min_min,average_speed_min_max,average_speed_max_mean,average_speed_max_std,average_speed_max_ci95,average_speed_max_min,average_speed_max_max,average_speed_final_mean,average_speed_final_std,average_speed_final_ci95,average_speed_final_min,average_speed_final_max,total_vehicles_mean_mean,total_vehicles_mean_std,total_vehicles_mean_ci95,total_vehicles_mean_min,total_vehicles_mean_max,total_vehicles_std_mean,total_vehicles_std_std,total_vehicles_std_ci95,total_vehicles_std_min,total_vehicles_std_max,total_vehicles_min_mean,total_vehicles_min_std,total_vehicles_min_ci95,total_vehicles_min_min,total_vehicles_min_max,total_vehicles_max_mean,total_vehicles_max_std,total_vehicles_max_ci95,total_vehicles_max_min,total_vehicles_max_max,total_vehicles_final_mean,total_vehicles_final_std,total_vehicles_final_ci95,total_vehicles_final_min,total_vehicles_final_max
add_aco,20,35.99711002953491,0.6391356895546352,0.29912471036869864,34.18329642425339,36.92780884735535,8.816042463838006,0.3366670665127399,0.15756503729509558,8.002798117921099,9.362220646129755,0.0,0.0,0.0,0.0,0.0,67.91755506748154,4.056436392733104,1.898470670525144,61.325,78.78181818181818,36.59778795158838,1.2477691306963452,0.5839739290519491,33.647295023045,38.78473730817984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0397065743261442,0.013813268249305654,0.006464808540417909,1.0136912437823709,1.0739532570150112,0.8000473023412615,0.008874357531262414,0.004153327172351922,0.7822674316342201,0.8242074534923046,0.0,0.0,0.0,0.0,0.0,4.011462687639158,0.42009610905346745,0.1966110311179764,3.5625,5.0,1.024265952988179,0.03256944573823213,0.015242969814604492,0.9587182474406342,1.0943735868824467,17.09722222222222,0.3672425921750803,0.17187482378893282,16.592222222222222,17.849444444444444,4.126000520914589,0.24264477908316504,0.11356125225350003,3.554848232113541,4.404742284780811,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,30.75,1.6503588126605426,0.7723917000872071,28.0,34.0,17.47425925925926,1.2668218188666562,0.592890861596681,15.116666666666667,19.346296296296295
add_aco_rush,20,35.99711002953491,0.6391356895546352,0.29912471036869864,34.18329642425339,36.92780884735535,8.816042463838006,0.3366670665127399,0.15756503729509558,8.002798117921099,9.362220646129755,0.0,0.0,0.0,0.0,0.0,67.91755506748154,4.056436392733104,1.898470670525144,61.325,78.78181818181818,36.59778795158838,1.2477691306963452,0.5839739290519491,33.647295023045,38.78473730817984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0397065743261442,0.013813268249305654,0.006464808540417909,1.0136912437823709,1.0739532570150112,0.8000473023412615,0.008874357531262414,0.004153327172351922,0.7822674316342201,0.8242074534923046,0.0,0.0,0.0,0.0,0.0,4.011462687639158,0.42009610905346745,0.1966110311179764,3.5625,5.0,1.024265952988179,0.03256944573823213,0.015242969814604492,0.9587182474406342,1.0943735868824467,17.09722222222222,0.3672425921750803,0.17187482378893282,16.592222222222222,17.849444444444444,4.126000520914589,0.24264477908316504,0.11356125225350003,3.554848232113541,4.404742284780811,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,30.75,1.6503588126605426,0.7723917000872071,28.0,34.0,17.47425925925926,1.2668218188666562,0.592890861596681,15.116666666666667,19.346296296296295
add_pso,20,35.89304066923981,0.6500827357586956,0.3042480856999434,34.9906915131878,37.429822841564246,8.617971633150233,0.41994112404851225,0.1965384959028783,7.891853776656909,9.822641801229159,0.0,0.0,0.0,0.0,0.0,66.65475741905155,2.7675103903865916,1.2952347326177407,62.292307692307695,72.18571428571428,36.05755806088849,2.1257132570908834,0.9948644282363439,30.816987080281063,38.99946118676626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0364080332223564,0.011641357185356796,0.005448322873027028,1.0120802157730615,1.054574452992067,0.80066644650962,0.008249651554473016,0.0038609557754378564,0.7794472773234902,0.8165063941380142,0.0,0.0,0.0,0.0,0.0,3.9970701065360514,0.4085994743790474,0.19123044046500104,3.588235294117647,5.0,1.041964852412697,0.05048602371044356,0.023628186419345235,0.9319756122114122,1.1122519615162652,17.266222222222222,0.45088007219899723,0.21101836935678422,16.55537037037037,18.223518518518517,4.212076665174895,0.24279142043701,0.11362988251967637,3.7043110613118704,4.730553638096507,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,31.55,2.0641042405337657,0.9660305209222494,29.0,37.0,17.189166666666665,1.3092604689661371,0.6127527612322523,14.368518518518519,19.353703703703705
add_som,20,35.99711002953491,0.6391356895546352,0.29912471036869864,34.18329642425339,36.92780884735535,8.816042463838006,0.3366670665127399,0.15756503729509558,8.002798117921099,9.362220646129755,0.0,0.0,0.0,0.0,0.0,67.91755506748154,4.056436392733104,1.898470670525144,61.325,78.78181818181818,36.59778795158838,1.2477691306963452,0.5839739290519491,33.647295023045,38.78473730817984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0397065743261442,0.013813268249305654,0.006464808540417909,1.0136912437823709,1.0739532570150112,0.8000473023412615,0.008874357531262414,0.004153327172351922,0.7822674316342201,0.8242074534923046,0.0,0.0,0.0,0.0,0.0,4.011462687639158,0.42009610905346745,0.1966110311179764,3.5625,5.0,1.024265952988179,0.03256944573823213,0.015242969814604492,0.9587182474406342,1.0943735868824467,17.09722222222222,0.3672425921750803,0.17187482378893282,16.592222222222222,17.849444444444444,4.126000520914589,0.24264477908316504,0.11356125225350003,3.554848232113541,4.404742284780811,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,30.75,1.6503588126605426,0.7723917000872071,28.0,34.0,17.47425925925926,1.2668218188666562,0.592890861596681,15.116666666666667,19.346296296296295
add_som_rush,20,35.99711002953491,0.6391356895546352,0.29912471036869864,34.18329642425339,36.92780884735535,8.816042463838006,0.3366670665127399,0.15756503729509558,8.002798117921099,9.362220646129755,0.0,0.0,0.0,0.0,0.0,67.91755506748154,4.056436392733104,1.898470670525144,61.325,78.78181818181818,36.59778795158838,1.2477691306963452,0.5839739290519491,33.647295023045,38.78473730817984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0397065743261442,0.013813268249305654,0.006464808540417909,1.0136912437823709,1.0739532570150112,0.8000473023412615,0.008874357531262414,0.004153327172351922,0.7822674316342201,0.8242074534923046,0.0,0.0,0.0,0.0,0.0,4.011462687639158,0.42009610905346745,0.1966110311179764,3.5625,5.0,1.024265952988179,0.03256944573823213,0.015242969814604492,0.9587182474406342,1.0943735868824467,17.09722222222222,0.3672425921750803,0.17187482378893282,16.592222222222222,17.849444444444444,4.126000520914589,0.24264477908316504,0.11356125225350003,3.554848232113541,4.404742284780811,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,30.75,1.6503588126605426,0.7723917000872071,28.0,34.0,17.47425925925926,1.2668218188666562,0.592890861596681,15.116666666666667,19.346296296296295
add_sotl,20,25.88404886753969,0.3851918552550772,0.18027533749499255,25.267144499779793,26.661003403632183,6.272457489144346,0.2640663078411571,0.1235868363197789,5.840855240502421,6.711762899802374,0.0,0.0,0.0,0.0,0.0,52.1012024087024,4.422379618075432,2.069737371917124,47.37777777777777,61.92,25.82818913362321,1.0979589561571914,0.5138606091393425,23.536365140623957,28.094586464174462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23603279320987655,0.006525451495700027,0.003054005308382025,0.22795910493827162,0.251087962962963,0.06719047160708069,0.003642519315288235,0.0017047515152177155,0.06084962340358015,0.07387752787321097,0.0,0.0,0.0,0.0,0.0,0.4843750000000001,0.03302696377594088,0.01545709484744916,0.4375,0.5625,0.23146219135802468,0.01745310575259665,0.008168304928985607,0.19830246913580243,0.27341820987654325,1.1724908245041399,0.022038519194778144,0.010314344479318099,1.132973853158599,1.2111798755611023,0.5499896029924282,0.018199987971242868,0.00851785656721091,0.5212799678472458,0.5772944880265085,0.0,0.0,0.0,0.0,0.0,3.8628625541125543,0.486827476978136,0.22784227266682938,3.142857142857143,5.0,1.1910129574354464,0.05690922663651435,0.026634337924104943,1.0852795226090381,1.2996553101388413,15.308777777777777,0.4348470520807775,0.20351468496303696,14.756481481481481,16.352037037037036,3.960372424659392,0.23447239864313935,0.10973646047282364,3.5438967367761696,4.422119853489756,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,29.55,1.669383750149485,0.7812956449132707,27.0,35.0,15.065000000000001,1.1287882176157502,0.5282891476412345,13.066666666666666,17.937037037037037
baseline_ca_only,20,35.99711002953491,0.6391356895546352,0.29912471036869864,34.18329642425339,36.92780884735535,8.816042463838006,0.3366670665127399,0.15756503729509558,8.002798117921099,9.362220646129755,0.0,0.0,0.0,0.0,0.0,67.91755506748154,4.056436392733104,1.898470670525144,61.325,78.78181818181818,36.59778795158838,1.2477691306963452,0.5839739290519491,33.647295023045,38.78473730817984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0397065743261442,0.013813268249305654,0.006464808540417909,1.0136912437823709,1.0739532570150112,0.8000473023412615,0.008874357531262414,0.004153327172351922,0.7822674316342201,0.8242074534923046,0.0,0.0,0.0,0.0,0.0,4.011462687639158,0.42009610905346745,0.1966110311179764,3.5625,5.0,1.024265952988179,0.03256944573823213,0.015242969814604492,0.9587182474406342,1.0943735868824467,17.09722222222222,0.3672425921750803,0.17187482378893282,16.592222222222222,17.849444444444444,4.126000520914589,0.24264477908316504,0.11356125225350003,3.554848232113541,4.404742284780811,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,30.75,1.6503588126605426,0.7723917000872071,28.0,34.0,17.47425925925926,1.2668218188666562,0.592890861596681,15.116666666666667,19.346296296296295
full_minus_aco,20,26.81918312362135,0.8075090025905564,0.37792584652616057,25.865004507660007,28.360845000643856,6.538317999213136,0.3978331982358808,0.18619166812650398,5.793525146344491,7.31057857493368,0.0,0.0,0.0,0.0,0.0,51.32199087432175,3.2127532186884453,1.503614790618159,45.5125,58.48571428571428,26.49112299253769,1.5490699269216568,0.7249870423511875,23.513523353008996,29.534796945864116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24329398148148149,0.00623873157927533,0.0029198162568877515,0.23126157407407408,0.25461805555555556,0.06914861277523114,0.0037222862600851435,0.0017420835945387713,0.061859110129054595,0.07714932943922333,0.0,0.0,0.0,0.0,0.0,0.4958333333333334,0.03859275300876218,0.0180619643915064,0.4375,0.5833333333333334,0.24317129629629633,0.019542356774869478,0.009146104506036834,0.20536265432098766,0.27530864197530863,1.1376438868442185,0.03016668945537428,0.014118445259111042,1.0838131285456705,1.1867182968421028,0.5413336272635162,0.023950775501173045,0.011209307979478255,0.5104690917451921,0.5972580785639566,0.0,0.0,0.0,0.0,0.0,3.814270729270729,0.5397115454356016,0.2525927785750206,3.1818181818181817,5.0,1.1364387736035046,0.05433450110563072,0.025429329283074228,1.0259240458808105,1.2293232183479863,15.789194444444442,0.45570494814667056,0.2132764808094843,14.963888888888889,16.618333333333332,4.031113961356787,0.2711239446790349,0.12688991203518565,3.5483422924925607,4.72689005317026,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,29.55,2.211810403980842,1.0351591333324965,26.0,36.0,16.00888888888889,1.323696575093897,0.6195090668726507,13.451851851851853,18.503703703703703
full_minus_pso,20,26.484124321882923,0.766423266944253,0.3586971303453302,25.343099943447417,28.124914128185004,6.438161748695089,0.3565444014553279,0.1668679164094608,5.840855240502421,7.0107018464813216,0.0,0.0,0.0,0.0,0.0,52.75811704085388,4.848058289611179,2.2689611227015467,46.888888888888886,65.725,26.781031965384763,1.4883171606380148,0.6965538725005807,24.20858231600255,29.098104091391072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23952507716049384,0.005335735858503478,0.0024972012506309857,0.2281712962962963,0.24934799382716047,0.06708419885841885,0.003927836249672479,0.0018382839509051086,0.06084962340358015,0.07387752787321097,0.0,0.0,0.0,0.0,0.0,0.4916666666666667,0.027372778555491105,0.012810854707712075,0.4583333333333333,0.5625,0.23929591049382717,0.02094638885964418,0.00980321174878719,0.20729166666666668,0.2907021604938272,1.1506393242512156,0.026026002122394132,0.012180543934795859,1.1057397328569873,1.2111798755611023,0.5441185852265626,0.01742778401915058,0.00815645399293732,0.5147003650717396,0.5754671871368342,0.0,0.0,0.0,0.0,0.0,3.791606240981241,0.558354315778291,0.2613178636709772,3.0714285714285716,5.0,1.1371011607133579,0.061586816594917236,0.02882351741196265,1.0363207802155208,1.2996553101388413,15.530722222222224,0.37305648703217265,0.17459581033946273,14.850555555555555,16.129074074074072,3.904425300532762,0.2248047947000694,0.10521188255190488,3.5438967367761696,4.308639799337949,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,29.35,2.084403234046921,0.9755307423222306,26.0,35.0,15.516018518518518,1.2827845343817406,0.6003616424233232,13.75,18.714814814814815
full_minus_som,20,25.984646603105983,0.4966326352435569,0.23243122799227375,25.071609049967066,26.910725400696897,6.343614670809157,0.280023689948376,0.13105512103470482,5.768496395707369,6.864041617646201,0.0,0.0,0.0,0.0,0.0,51.1560877383486,4.965805991124468,2.3240687433325986,42.74285714285714,65.02499999999999,25.940148870212056,1.8534116211353733,0.8674233397174528,23.32451335404514,29.534796945864116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2399407793209877,0.005680851986012518,0.00265872057019307,0.22997299382716047,0.25461805555555556,0.06761412702593526,0.002924347211010303,0.0013686366241267343,0.06258725000864812,0.07339727208935687,0.0,0.0,0.0,0.0,0.0,0.4906249999999999,0.03411568189941377,0.01596663061376493,0.4375,0.5625,0.24365933641975315,0.0180995588893214,0.008470854310048136,0.20536265432098766,0.2721064814814815,1.1699055145290798,0.019827609529402622,0.00927960690462931,1.1189068490653018,1.2056099481639926,0.5491842758936383,0.020017976849890148,0.00936870155312903,0.5162664499115963,0.5787246357822159,0.0,0.0,0.0,0.0,0.0,3.844692807192807,0.48419031196171863,0.22660804144703944,3.3333333333333335,5.0,1.1639336640006983,0.05019479067857613,0.023491885164805923,1.0831867319244055,1.2821434666340892,15.537851851851851,0.40224126800567034,0.18825470828326962,14.83,16.618333333333332,3.9446982049823363,0.20926956176422634,0.0979411697308411,3.6084690001962367,4.301581104663725,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,29.1,1.6189665319514628,0.7576996604649797,26.0,32.0,15.964444444444448,1.2422622540774415,0.5813966314599252,13.451851851851853,17.575925925925926
